author_1,author_2,weight
https://openalex.org/A5011035455,https://openalex.org/A5054960661,4
https://openalex.org/A5054960661,https://openalex.org/A5105508446,4
https://openalex.org/A5054960661,https://openalex.org/A5081476701,4
https://openalex.org/A5033081182,https://openalex.org/A5054960661,8
https://openalex.org/A5052965447,https://openalex.org/A5054960661,4
https://openalex.org/A5011035455,https://openalex.org/A5105508446,4
https://openalex.org/A5011035455,https://openalex.org/A5081476701,4
https://openalex.org/A5011035455,https://openalex.org/A5033081182,4
https://openalex.org/A5011035455,https://openalex.org/A5052965447,4
https://openalex.org/A5081476701,https://openalex.org/A5105508446,4
https://openalex.org/A5033081182,https://openalex.org/A5105508446,4
https://openalex.org/A5052965447,https://openalex.org/A5105508446,4
https://openalex.org/A5033081182,https://openalex.org/A5081476701,4
https://openalex.org/A5052965447,https://openalex.org/A5081476701,6
https://openalex.org/A5033081182,https://openalex.org/A5052965447,4
https://openalex.org/A5011035455,https://openalex.org/A5053273786,2
https://openalex.org/A5053273786,https://openalex.org/A5065531884,1
https://openalex.org/A5013827698,https://openalex.org/A5053273786,1
https://openalex.org/A5011035455,https://openalex.org/A5065531884,1
https://openalex.org/A5011035455,https://openalex.org/A5013827698,2
https://openalex.org/A5013827698,https://openalex.org/A5065531884,1
https://openalex.org/A5011035455,https://openalex.org/A5047381329,1
https://openalex.org/A5011035455,https://openalex.org/A5027673966,1
https://openalex.org/A5011035455,https://openalex.org/A5022224624,1
https://openalex.org/A5027673966,https://openalex.org/A5053273786,1
https://openalex.org/A5022224624,https://openalex.org/A5053273786,1
https://openalex.org/A5022224624,https://openalex.org/A5027673966,1
https://openalex.org/A5011035455,https://openalex.org/A5038355456,1
https://openalex.org/A5013827698,https://openalex.org/A5038355456,1
https://openalex.org/A5011035455,https://openalex.org/A5036326592,1
https://openalex.org/A5036326592,https://openalex.org/A5084285136,1
https://openalex.org/A5036326592,https://openalex.org/A5082736897,1
https://openalex.org/A5011035455,https://openalex.org/A5084285136,1
https://openalex.org/A5011035455,https://openalex.org/A5082736897,1
https://openalex.org/A5082736897,https://openalex.org/A5084285136,1
https://openalex.org/A5011035455,https://openalex.org/A5011594562,1
https://openalex.org/A5011035455,https://openalex.org/A5091507247,1
https://openalex.org/A5011594562,https://openalex.org/A5091507247,1
https://openalex.org/A5011035455,https://openalex.org/A5041527676,1
https://openalex.org/A5041527676,https://openalex.org/A5078385045,1
https://openalex.org/A5011035455,https://openalex.org/A5078385045,1
https://openalex.org/A5015694492,https://openalex.org/A5074354806,1
https://openalex.org/A5018463374,https://openalex.org/A5034438905,3
https://openalex.org/A5018463374,https://openalex.org/A5018997782,2
https://openalex.org/A5018997782,https://openalex.org/A5034438905,9
https://openalex.org/A5011644452,https://openalex.org/A5077308157,2
https://openalex.org/A5077308157,https://openalex.org/A5089836433,2
https://openalex.org/A5034438905,https://openalex.org/A5077308157,2
https://openalex.org/A5049923911,https://openalex.org/A5077308157,1
https://openalex.org/A5011644452,https://openalex.org/A5089836433,2
https://openalex.org/A5011644452,https://openalex.org/A5034438905,2
https://openalex.org/A5011644452,https://openalex.org/A5049923911,1
https://openalex.org/A5034438905,https://openalex.org/A5089836433,2
https://openalex.org/A5049923911,https://openalex.org/A5089836433,1
https://openalex.org/A5034438905,https://openalex.org/A5049923911,1
https://openalex.org/A5048624715,https://openalex.org/A5113931019,1
https://openalex.org/A5034438905,https://openalex.org/A5113931019,1
https://openalex.org/A5050591562,https://openalex.org/A5113931019,1
https://openalex.org/A5027208547,https://openalex.org/A5113931019,1
https://openalex.org/A5113931019,https://openalex.org/A5114377276,1
https://openalex.org/A5034438905,https://openalex.org/A5048624715,1
https://openalex.org/A5048624715,https://openalex.org/A5050591562,1
https://openalex.org/A5027208547,https://openalex.org/A5048624715,1
https://openalex.org/A5048624715,https://openalex.org/A5114377276,1
https://openalex.org/A5034438905,https://openalex.org/A5050591562,1
https://openalex.org/A5027208547,https://openalex.org/A5034438905,1
https://openalex.org/A5034438905,https://openalex.org/A5114377276,1
https://openalex.org/A5027208547,https://openalex.org/A5050591562,1
https://openalex.org/A5050591562,https://openalex.org/A5114377276,1
https://openalex.org/A5027208547,https://openalex.org/A5114377276,1
https://openalex.org/A5034438905,https://openalex.org/A5087414125,2
https://openalex.org/A5010700730,https://openalex.org/A5087414125,2
https://openalex.org/A5013430806,https://openalex.org/A5087414125,2
https://openalex.org/A5010700730,https://openalex.org/A5034438905,2
https://openalex.org/A5013430806,https://openalex.org/A5034438905,2
https://openalex.org/A5010700730,https://openalex.org/A5013430806,2
https://openalex.org/A5005203311,https://openalex.org/A5049833225,4
https://openalex.org/A5046740363,https://openalex.org/A5049833225,2
https://openalex.org/A5049833225,https://openalex.org/A5083317378,2
https://openalex.org/A5049833225,https://openalex.org/A5060956412,5
https://openalex.org/A5049833225,https://openalex.org/A5087416292,2
https://openalex.org/A5034438905,https://openalex.org/A5049833225,9
https://openalex.org/A5005203311,https://openalex.org/A5046740363,2
https://openalex.org/A5005203311,https://openalex.org/A5083317378,2
https://openalex.org/A5005203311,https://openalex.org/A5060956412,2
https://openalex.org/A5005203311,https://openalex.org/A5087416292,2
https://openalex.org/A5005203311,https://openalex.org/A5034438905,5
https://openalex.org/A5046740363,https://openalex.org/A5083317378,2
