id,publication_year,cited_by_count,author_ids
https://openalex.org/W2113952314,2003,34,"['https://openalex.org/A5020228087', 'https://openalex.org/A5018997782', 'https://openalex.org/A5034438905']"
https://openalex.org/W2582167330,2013,19,"['https://openalex.org/A5049833225', 'https://openalex.org/A5009842882', 'https://openalex.org/A5060956412', 'https://openalex.org/A5049833225', 'https://openalex.org/A5055959286', 'https://openalex.org/A5034438905', 'https://openalex.org/A5052842430', 'https://openalex.org/A5002640829']"
https://openalex.org/W2099151635,2013,18,"['https://openalex.org/A5067820257', 'https://openalex.org/A5007822070', 'https://openalex.org/A5056061208', 'https://openalex.org/A5035329084', 'https://openalex.org/A5034438905', 'https://openalex.org/A5032448943', 'https://openalex.org/A5009999606', 'https://openalex.org/A5067498065']"
https://openalex.org/W2163264934,2011,18,"['https://openalex.org/A5068593287', 'https://openalex.org/A5046292035', 'https://openalex.org/A5050702492', 'https://openalex.org/A5034438905']"
https://openalex.org/W2977689067,2019,15,"['https://openalex.org/A5102895452', 'https://openalex.org/A5034438905', 'https://openalex.org/A5013501141', 'https://openalex.org/A5030806697', 'https://openalex.org/A5014987797', 'https://openalex.org/A5109794045', 'https://openalex.org/A5103205115']"
https://openalex.org/W3005412258,2020,15,"['https://openalex.org/A5028041567', 'https://openalex.org/A5054129794', 'https://openalex.org/A5015065118', 'https://openalex.org/A5032448027', 'https://openalex.org/A5007560752', 'https://openalex.org/A5016262146', 'https://openalex.org/A5028562325', 'https://openalex.org/A5034438905']"
https://openalex.org/W2741098315,2017,14,"['https://openalex.org/A5024116331', 'https://openalex.org/A5008401136', 'https://openalex.org/A5034438905', 'https://openalex.org/A5020374620', 'https://openalex.org/A5035723742']"
https://openalex.org/W2001040334,1998,28,"['https://openalex.org/A5018997782', 'https://openalex.org/A5034438905']"
https://openalex.org/W2940880539,2019,13,"['https://openalex.org/A5015065118', 'https://openalex.org/A5076480796', 'https://openalex.org/A5102910059', 'https://openalex.org/A5061662390', 'https://openalex.org/A5006065753', 'https://openalex.org/A5041280331', 'https://openalex.org/A5020260999', 'https://openalex.org/A5034438905']"
https://openalex.org/W2960212347,2019,13,"['https://openalex.org/A5027316988', 'https://openalex.org/A5049833225', 'https://openalex.org/A5027424571', 'https://openalex.org/A5005203311', 'https://openalex.org/A5082052440', 'https://openalex.org/A5025229010', 'https://openalex.org/A5034438905']"
https://openalex.org/W4252979688,2014,13,"['https://openalex.org/A5049833225', 'https://openalex.org/A5005203311', 'https://openalex.org/A5046740363', 'https://openalex.org/A5083317378', 'https://openalex.org/A5060956412', 'https://openalex.org/A5087416292', 'https://openalex.org/A5034438905']"
https://openalex.org/W3095065716,2020,11,"['https://openalex.org/A5048097111', 'https://openalex.org/A5054129794', 'https://openalex.org/A5007507041', 'https://openalex.org/A5015065118', 'https://openalex.org/A5067907002', 'https://openalex.org/A5034438905', 'https://openalex.org/A5113701310', 'https://openalex.org/A5059060196']"
https://openalex.org/W3119551960,2021,11,"['https://openalex.org/A5065745442', 'https://openalex.org/A5055445056', 'https://openalex.org/A5034438905']"
https://openalex.org/W1993642633,2009,15,"['https://openalex.org/A5045293157', 'https://openalex.org/A5018463374', 'https://openalex.org/A5109032892', 'https://openalex.org/A5110391802', 'https://openalex.org/A5022726891', 'https://openalex.org/A5002140263', 'https://openalex.org/A5034438905']"
https://openalex.org/W2977116788,2019,11,"['https://openalex.org/A5080133532', 'https://openalex.org/A5026733218', 'https://openalex.org/A5067052414', 'https://openalex.org/A5034438905']"
https://openalex.org/W3124224687,2011,11,"['https://openalex.org/A5026189028', 'https://openalex.org/A5034438905']"
https://openalex.org/W2126058386,1999,14,"['https://openalex.org/A5062249099', 'https://openalex.org/A5034438905']"
https://openalex.org/W2098228829,1993,13,"['https://openalex.org/A5034438905', 'https://openalex.org/A5110156703']"
https://openalex.org/W2049239544,1998,12,"['https://openalex.org/A5002140263', 'https://openalex.org/A5034438905']"
https://openalex.org/W4229039601,2022,16,"['https://openalex.org/A5021589283', 'https://openalex.org/A5015319043', 'https://openalex.org/A5054777179', 'https://openalex.org/A5005813408', 'https://openalex.org/A5038616675', 'https://openalex.org/A5025790809', 'https://openalex.org/A5061913766']"
https://openalex.org/W2550515775,2016,37,"['https://openalex.org/A5086011172', 'https://openalex.org/A5071042104', 'https://openalex.org/A5060753814']"
https://openalex.org/W2963593158,2010,14,"['https://openalex.org/A5086011172', 'https://openalex.org/A5020860817', 'https://openalex.org/A5036322121']"
https://openalex.org/W2740838408,2017,27,"['https://openalex.org/A5017258586', 'https://openalex.org/A5037220308', 'https://openalex.org/A5101426810', 'https://openalex.org/A5101531241']"
https://openalex.org/W2963997453,2017,21,"['https://openalex.org/A5101426810', 'https://openalex.org/A5037220308', 'https://openalex.org/A5020700841']"
https://openalex.org/W2991581987,2019,187,"['https://openalex.org/A5023997241', 'https://openalex.org/A5023775697', 'https://openalex.org/A5061483794', 'https://openalex.org/A5011368152', 'https://openalex.org/A5013262618', 'https://openalex.org/A5077079991', 'https://openalex.org/A5073459923', 'https://openalex.org/A5056559023']"
https://openalex.org/W4386033685,2023,20,"['https://openalex.org/A5011368152', 'https://openalex.org/A5089434641', 'https://openalex.org/A5023775697', 'https://openalex.org/A5077079991', 'https://openalex.org/A5023997241', 'https://openalex.org/A5013262618', 'https://openalex.org/A5056559023']"
https://openalex.org/W2969828666,2019,35,"['https://openalex.org/A5016819382', 'https://openalex.org/A5075314395', 'https://openalex.org/A5002362611']"
https://openalex.org/W2974188208,2019,22,"['https://openalex.org/A5075314395', 'https://openalex.org/A5075507724', 'https://openalex.org/A5016819382', 'https://openalex.org/A5002362611']"
https://openalex.org/W3126684379,2022,16,"['https://openalex.org/A5055236010', 'https://openalex.org/A5019818981', 'https://openalex.org/A5022601535']"
https://openalex.org/W2194744042,2016,13,"['https://openalex.org/A5062149129', 'https://openalex.org/A5055236010', 'https://openalex.org/A5004420568', 'https://openalex.org/A5080507324']"
https://openalex.org/W2043890595,2006,1120,"['https://openalex.org/A5025218537', 'https://openalex.org/A5014662127', 'https://openalex.org/A5061287527', 'https://openalex.org/A5046546654']"
https://openalex.org/W2154656661,2010,785,"['https://openalex.org/A5024684865', 'https://openalex.org/A5014075764', 'https://openalex.org/A5014662127', 'https://openalex.org/A5069885186', 'https://openalex.org/A5105987948', 'https://openalex.org/A5111987183']"
https://openalex.org/W1965715402,2004,687,"['https://openalex.org/A5061287527', 'https://openalex.org/A5014662127', 'https://openalex.org/A5016146759', 'https://openalex.org/A5046546654']"
https://openalex.org/W2096296558,2005,523,"['https://openalex.org/A5061287527', 'https://openalex.org/A5014662127', 'https://openalex.org/A5016146759', 'https://openalex.org/A5046546654']"
https://openalex.org/W2150587298,2015,504,"['https://openalex.org/A5058144931', 'https://openalex.org/A5076015541', 'https://openalex.org/A5014662127']"
https://openalex.org/W2118027753,2012,418,"['https://openalex.org/A5034406723', 'https://openalex.org/A5014662127', 'https://openalex.org/A5036258938', 'https://openalex.org/A5069885186', 'https://openalex.org/A5074039936', 'https://openalex.org/A5021346979']"
